Member_number,Date,itemDescription,itemDescription_ro
4906,30-09-2015,citrus fruit,fructe citrice
2745,08-04-2015,rolls/buns,chifle
4682,17-05-2015,other vegetables,alte legume
2553,01-02-2015,tropical fruit,fruct tropical
3985,18-02-2015,canned beer,bere la cutie
2741,28-09-2015,bottled beer,bere la sticlă
2642,01-04-2015,beverages,băuturi
1873,14-02-2015,pastry,patiserie
3738,15-07-2015,rolls/buns,chifle
2042,17-11-2015,root vegetables,legume rădăcinoase
4669,27-05-2015,other vegetables,alte legume
2045,16-08-2015,sweet spreads,dulceață
3450,03-10-2015,tropical fruit,fruct tropical
2225,12-03-2015,whole milk,lapte integral
2290,10-09-2015,pip fruit,fruct cu sâmburi
4494,02-11-2015,tropical fruit,fruct tropical
3539,24-01-2015,bottled beer,bere la sticlă
1002,26-04-2015,sugar,zahăr
3222,05-08-2015,sliced cheese,brânză feliată
1711,22-11-2015,yogurt,iaurt
2436,24-11-2015,whole milk,lapte integral
2888,20-12-2015,other vegetables,alte legume
4665,26-02-2015,whole milk,lapte integral
2977,03-01-2015,UHT-milk,
3052,04-07-2015,rolls/buns,chifle
4943,28-07-2015,soda,suc carbogazos
1323,03-11-2015,whole milk,lapte integral
1604,04-11-2015,rum,
2794,12-09-2015,specialty chocolate,
2253,21-07-2015,white bread,pâine albă
2873,03-09-2015,whipped/sour cream,frișcă/smântână
2707,22-06-2015,newspapers,ziare
2718,25-01-2015,chewing gum,gumă de mestecat
3711,08-07-2015,berries,fructe de pădure
2960,17-02-2015,pastry,patiserie
1702,14-01-2015,bottled beer,bere la sticlă
4347,07-03-2015,root vegetables,legume rădăcinoase
2913,04-07-2015,ready soups,
3893,15-04-2015,whole milk,lapte integral
1950,23-10-2015,frozen vegetables,legume congelate
3205,20-03-2015,detergent,detergent
1943,24-03-2015,liquor,
3604,18-05-2015,cat food,
2048,16-12-2015,sugar,zahăr
2176,08-08-2015,onions,ceapă
2659,15-06-2015,yogurt,iaurt
3841,01-02-2015,other vegetables,alte legume
1077,12-09-2015,soda,suc carbogazos
2403,28-11-2015,chewing gum,gumă de mestecat
3324,24-08-2015,rolls/buns,chifle
4976,11-07-2015,pastry,patiserie
3894,06-11-2015,other vegetables,alte legume
3718,18-10-2015,rolls/buns,chifle
3652,18-09-2015,whole milk,lapte integral
4867,03-01-2015,salty snack,gustare sărată
1845,28-05-2015,rolls/buns,chifle
2233,28-08-2015,chocolate,ciocolată
1958,03-07-2015,cream cheese ,
1535,14-01-2015,soda,suc carbogazos
2187,16-08-2015,sugar,zahăr
4557,19-10-2015,packaged fruit/vegetables,
1482,21-02-2015,cake bar,
4614,07-06-2015,butter,unt
1341,16-09-2015,fruit/vegetable juice,suc de fructe/legume
4768,13-03-2015,yogurt,iaurt
3683,04-12-2015,frozen meals,
3471,29-05-2015,liquor,
4698,25-10-2015,newspapers,ziare
4134,28-11-2015,dessert,
1357,28-07-2015,brown bread,pâine integrală
2617,22-05-2015,dessert,
2834,26-12-2015,cream cheese ,
1921,25-10-2015,bottled water,apă îmbuteliată
1248,25-08-2015,curd,brânză de vaci
3945,04-10-2015,onions,ceapă
2265,29-07-2015,chewing gum,gumă de mestecat
1046,18-06-2015,pastry,patiserie
1484,24-02-2015,whole milk,lapte integral
3355,18-10-2015,brown bread,pâine integrală
4563,16-05-2015,whole milk,lapte integral
4255,15-08-2015,dishes,vase
3741,21-11-2015,other vegetables,alte legume
2990,12-08-2015,specialty bar,
1655,20-11-2015,whole milk,lapte integral
1878,22-02-2015,yogurt,iaurt
3877,11-01-2015,whipped/sour cream,frișcă/smântână
3370,12-11-2015,sugar,zahăr
3084,19-04-2015,salt,
1472,06-07-2015,whole milk,lapte integral
3160,22-01-2015,yogurt,iaurt
1854,26-07-2015,newspapers,ziare
4113,19-07-2015,bottled beer,bere la sticlă
1551,11-08-2015,syrup,
3195,30-01-2015,yogurt,iaurt
1170,01-12-2015,pip fruit,fruct cu sâmburi
2653,07-12-2015,spread cheese,
3494,04-07-2015,fruit/vegetable juice,suc de fructe/legume
4787,25-05-2015,cat food,
2008,21-10-2015,soda,suc carbogazos
3692,20-02-2015,coffee,cafea
1016,23-04-2015,pip fruit,fruct cu sâmburi
4667,23-02-2015,rolls/buns,chifle
4191,10-05-2015,long life bakery product,produs de patiserie cu termen lung
2015,12-05-2015,rum,
3002,19-02-2015,snack products,
4068,10-01-2015,yogurt,iaurt
4432,25-09-2015,coffee,cafea
3406,17-05-2015,sliced cheese,brânză feliată
1844,10-02-2015,grapes,struguri
4793,24-02-2015,specialty chocolate,
3363,18-05-2015,baking powder,
2160,06-10-2015,dishes,vase
1448,19-03-2015,liquor,
1346,08-05-2015,domestic eggs,ouă
3863,13-06-2015,pet care,îngrijirea animalelor
4611,08-03-2015,cooking chocolate,
1368,15-07-2015,soft cheese,brânză moale
1808,04-02-2015,semi-finished bread,
4589,08-12-2015,beverages,băuturi
2814,21-10-2015,dish cleaner,detergent pentru vase
4848,23-06-2015,mustard,muștar
3454,17-12-2015,other vegetables,alte legume
1118,27-07-2015,yogurt,iaurt
1863,11-02-2015,beverages,băuturi
3154,05-01-2015,shopping bags,pungi de cumpărături
3251,26-12-2015,rolls/buns,chifle
4964,30-11-2015,domestic eggs,ouă
4537,20-12-2015,whipped/sour cream,frișcă/smântână
2063,27-11-2015,herbs,
4873,27-04-2015,hard cheese,brânză tare
1841,10-05-2015,margarine,margarină
4420,25-02-2015,red/blush wine,vin roșu/roz
3593,27-08-2015,coffee,cafea
4123,14-12-2015,hair spray,
4571,05-04-2015,napkins,șervețele
4503,26-11-2015,coffee,cafea
4526,18-01-2015,whipped/sour cream,frișcă/smântână
2241,18-10-2015,frozen meals,
3694,17-12-2015,rolls/buns,chifle
4988,20-12-2015,long life bakery product,produs de patiserie cu termen lung
4327,26-04-2015,jam,
2061,15-12-2015,sparkling wine,
3345,30-09-2015,whole milk,lapte integral
1937,19-01-2015,pip fruit,fruct cu sâmburi
2055,08-11-2015,sugar,zahăr
4362,08-05-2015,curd,brânză de vaci
4716,01-03-2015,bottled beer,bere la sticlă
4657,14-01-2015,yogurt,iaurt
3281,16-06-2015,frozen potato products,
3252,15-02-2015,mustard,muștar
4410,05-10-2015,dessert,
4396,12-06-2015,salt,
3683,05-12-2015,other vegetables,alte legume
2493,07-08-2015,sliced cheese,brânză feliată
1788,15-04-2015,canned beer,bere la cutie
1846,18-05-2015,misc. beverages,
4685,04-11-2015,root vegetables,legume rădăcinoase
2237,09-02-2015,margarine,margarină
3755,28-09-2015,butter milk,
1280,12-08-2015,fish,pește
4019,06-08-2015,sliced cheese,brânză feliată
4875,03-10-2015,dessert,
3552,02-09-2015,other vegetables,alte legume
3134,07-06-2015,other vegetables,alte legume
4797,04-07-2015,root vegetables,legume rădăcinoase
1443,04-03-2015,root vegetables,legume rădăcinoase
2171,31-03-2015,rolls/buns,chifle
4153,27-05-2015,meat,
2476,05-05-2015,root vegetables,legume rădăcinoase
1550,14-05-2015,oil,ulei
1885,25-12-2015,specialty bar,
2592,01-10-2015,soda,suc carbogazos
4607,17-11-2015,soda,suc carbogazos
3600,26-11-2015,whole milk,lapte integral
2848,15-11-2015,pasta,
4160,19-04-2015,root vegetables,legume rădăcinoase
2800,02-02-2015,other vegetables,alte legume
4882,31-10-2015,pickled vegetables,legume murate
1908,10-06-2015,female sanitary products,
2045,07-12-2015,grapes,struguri
4728,15-02-2015,pip fruit,fruct cu sâmburi
4680,22-08-2015,yogurt,iaurt
4780,05-04-2015,other vegetables,alte legume
1107,06-05-2015,misc. beverages,
3329,21-02-2015,rolls/buns,chifle
4122,24-04-2015,rolls/buns,chifle
2690,04-11-2015,sugar,zahăr
2186,14-02-2015,soda,suc carbogazos
4871,15-11-2015,cream cheese ,
1608,21-02-2015,hamburger meat,
1116,23-07-2015,bottled water,apă îmbuteliată
1566,19-11-2015,bottled beer,bere la sticlă
3629,13-04-2015,tropical fruit,fruct tropical
1835,01-04-2015,pip fruit,fruct cu sâmburi
1853,03-02-2015,butter milk,
1880,15-09-2015,soda,suc carbogazos
2476,04-12-2015,whole milk,lapte integral
1349,10-05-2015,shopping bags,pungi de cumpărături
3284,28-01-2015,rolls/buns,chifle
1660,26-07-2015,specialty chocolate,
1866,15-02-2015,bottled water,apă îmbuteliată
1678,23-08-2015,whole milk,lapte integral
2327,04-08-2015,bottled water,apă îmbuteliată
4710,09-05-2015,root vegetables,legume rădăcinoase
4563,27-06-2015,other vegetables,alte legume
4555,31-03-2015,pip fruit,fruct cu sâmburi
4160,12-06-2015,rolls/buns,chifle
2006,08-12-2015,coffee,cafea
3120,12-06-2015,grapes,struguri
3750,28-02-2015,yogurt,iaurt
4985,26-12-2015,hard cheese,brânză tare
2108,11-08-2015,yogurt,iaurt
2072,19-02-2015,root vegetables,legume rădăcinoase
2391,27-06-2015,yogurt,iaurt
1047,04-01-2015,soda,suc carbogazos
2464,19-07-2015,other vegetables,alte legume
2029,08-07-2015,rolls/buns,chifle
3704,22-01-2015,mustard,muștar
1807,18-12-2015,other vegetables,alte legume
2337,15-08-2015,hard cheese,brânză tare
4614,24-10-2015,whole milk,lapte integral
4105,29-05-2015,root vegetables,legume rădăcinoase
2600,12-05-2015,fruit/vegetable juice,suc de fructe/legume
4335,12-10-2015,bottled water,apă îmbuteliată
4582,13-11-2015,other vegetables,alte legume
3306,29-12-2015,frozen vegetables,legume congelate
4789,11-09-2015,shopping bags,pungi de cumpărături
4744,20-01-2015,soda,suc carbogazos
3029,31-05-2015,butter milk,
1144,28-01-2015,whipped/sour cream,frișcă/smântână
2273,27-11-2015,root vegetables,legume rădăcinoase
1475,17-12-2015,canned beer,bere la cutie
1173,22-10-2015,rolls/buns,chifle
2148,19-07-2015,hard cheese,brânză tare
3334,03-05-2015,whole milk,lapte integral
2200,10-10-2015,white bread,pâine albă
3973,02-09-2015,hygiene articles,
2695,04-07-2015,UHT-milk,
3053,25-12-2015,chocolate,ciocolată
2964,11-08-2015,tropical fruit,fruct tropical
2494,13-06-2015,butter,unt
1603,07-09-2015,domestic eggs,ouă
1264,07-12-2015,semi-finished bread,
2809,10-04-2015,other vegetables,alte legume
3180,15-09-2015,domestic eggs,ouă
4539,09-03-2015,bottled water,apă îmbuteliată
2990,29-06-2015,canned beer,bere la cutie
1969,11-02-2015,frozen vegetables,legume congelate
1191,08-08-2015,specialty chocolate,
2690,20-10-2015,soda,suc carbogazos
3803,20-10-2015,pip fruit,fruct cu sâmburi
3999,19-04-2015,whipped/sour cream,frișcă/smântână
3677,30-11-2015,napkins,șervețele
1168,11-02-2015,UHT-milk,
1324,27-12-2015,salt,
3829,10-07-2015,chewing gum,gumă de mestecat
2664,20-09-2015,domestic eggs,ouă
3002,22-01-2015,white bread,pâine albă
4305,23-06-2015,other vegetables,alte legume
2633,14-02-2015,whole milk,lapte integral
1120,14-01-2015,newspapers,ziare
2870,25-02-2015,pastry,patiserie
2977,16-11-2015,pastry,patiserie
2135,25-01-2015,cream cheese ,
4460,12-07-2015,dessert,
2961,21-07-2015,white bread,pâine albă
2109,24-09-2015,sugar,zahăr
1023,28-06-2015,yogurt,iaurt
2645,26-06-2015,processed cheese,brânză topită
2910,04-12-2015,cat food,
3251,09-11-2015,rolls/buns,chifle
2309,29-12-2015,shopping bags,pungi de cumpărături
2553,21-06-2015,pip fruit,fruct cu sâmburi
4100,22-04-2015,pastry,patiserie
2580,17-11-2015,newspapers,ziare
4628,10-12-2015,bottled beer,bere la sticlă
1073,08-06-2015,pip fruit,fruct cu sâmburi
1459,18-07-2015,curd,brânză de vaci
3752,21-08-2015,spread cheese,
4655,21-03-2015,pip fruit,fruct cu sâmburi
2484,20-06-2015,UHT-milk,
4990,15-03-2015,salty snack,gustare sărată
2356,02-02-2015,butter,unt
3476,21-04-2015,domestic eggs,ouă
4643,25-01-2015,brown bread,pâine integrală
3287,02-02-2015,rolls/buns,chifle
3468,14-11-2015,tropical fruit,fruct tropical
2779,27-12-2015,cake bar,
3811,11-05-2015,yogurt,iaurt
3122,13-10-2015,pip fruit,fruct cu sâmburi
2874,22-01-2015,bottled water,apă îmbuteliată
3148,28-03-2015,UHT-milk,
4359,24-09-2015,newspapers,ziare
4510,26-03-2015,pastry,patiserie
3298,28-04-2015,prosecco,prosecco
3285,12-07-2015,whipped/sour cream,frișcă/smântână
4752,11-02-2015,dessert,
4741,25-02-2015,whole milk,lapte integral
3557,24-05-2015,whole milk,lapte integral
4328,21-07-2015,tropical fruit,fruct tropical
1052,06-07-2015,yogurt,iaurt
1719,17-09-2015,other vegetables,alte legume
1360,05-02-2015,white bread,pâine albă
1299,03-06-2015,salty snack,gustare sărată
4260,16-11-2015,margarine,margarină
1785,15-07-2015,brown bread,pâine integrală
3835,06-01-2015,soda,suc carbogazos
1720,05-12-2015,whole milk,lapte integral
1872,05-04-2015,fruit/vegetable juice,suc de fructe/legume
1406,23-03-2015,whipped/sour cream,frișcă/smântână
3560,29-09-2015,coffee,cafea
4628,29-11-2015,yogurt,iaurt
2692,09-10-2015,UHT-milk,
4843,13-05-2015,whole milk,lapte integral
4395,25-06-2015,whole milk,lapte integral
1196,27-11-2015,rolls/buns,chifle
1076,14-05-2015,butter,unt
3519,28-01-2015,whole milk,lapte integral
1335,18-10-2015,yogurt,iaurt
4988,29-10-2015,other vegetables,alte legume
4437,20-10-2015,other vegetables,alte legume
2262,04-10-2015,hygiene articles,
4320,07-01-2015,canned beer,bere la cutie
1155,01-04-2015,pet care,îngrijirea animalelor
3101,17-12-2015,soda,suc carbogazos
2433,19-10-2015,root vegetables,legume rădăcinoase
2051,14-11-2015,whole milk,lapte integral
3144,16-08-2015,curd,brânză de vaci
2000,23-08-2015,hamburger meat,
2427,26-06-2015,UHT-milk,
2916,13-06-2015,domestic eggs,ouă
1609,17-12-2015,chocolate,ciocolată
2982,25-06-2015,yogurt,iaurt
1804,30-11-2015,whole milk,lapte integral
4997,27-12-2015,curd,brânză de vaci
2789,28-01-2015,other vegetables,alte legume
2512,23-04-2015,bottled water,apă îmbuteliată
2641,01-03-2015,frozen fruits,
2102,10-05-2015,other vegetables,alte legume
2979,17-07-2015,ice cream,înghețată
3685,04-03-2015,dessert,
2918,11-10-2015,ice cream,înghețată
4640,31-01-2015,coffee,cafea
1149,06-08-2015,chicken,pui
4608,05-01-2015,canned beer,bere la cutie
3794,26-11-2015,berries,fructe de pădure
3014,04-11-2015,margarine,margarină
2083,28-03-2015,whole milk,lapte integral
1656,13-08-2015,whole milk,lapte integral
1482,24-07-2015,cream cheese ,
3050,20-10-2015,sliced cheese,brânză feliată
3882,23-04-2015,other vegetables,alte legume
2618,03-12-2015,newspapers,ziare
4888,13-02-2015,beverages,băuturi
2523,12-01-2015,semi-finished bread,
4633,14-04-2015,brown bread,pâine integrală
2440,02-03-2015,UHT-milk,
2100,05-07-2015,specialty cheese,brânză specială
3691,12-02-2015,candy,bomboane
4499,06-05-2015,frozen vegetables,legume congelate
2370,28-08-2015,chewing gum,gumă de mestecat
3831,14-10-2015,domestic eggs,ouă
4744,28-10-2015,salty snack,gustare sărată
4919,12-03-2015,root vegetables,legume rădăcinoase
4876,21-02-2015,soda,suc carbogazos
1296,20-08-2015,hard cheese,brânză tare
4845,28-08-2015,beef,carne de vită
4606,13-03-2015,whole milk,lapte integral
1438,26-02-2015,cream cheese ,
2777,24-05-2015,soda,suc carbogazos
4220,10-08-2015,detergent,detergent
1943,07-01-2015,other vegetables,alte legume
3535,01-09-2015,liquor (appetizer),lichior (aperitiv)
2194,09-01-2015,dessert,
2326,29-11-2015,misc. beverages,
4189,07-04-2015,snack products,
1023,06-01-2015,rolls/buns,chifle
3886,01-04-2015,butter milk,
1443,09-10-2015,cream cheese ,
1395,26-06-2015,root vegetables,legume rădăcinoase
1291,14-01-2015,domestic eggs,ouă
1374,10-03-2015,pip fruit,fruct cu sâmburi
4015,20-02-2015,soft cheese,brânză moale
3009,18-02-2015,frozen vegetables,legume congelate
2961,16-11-2015,mayonnaise,maioneză
3260,08-07-2015,whole milk,lapte integral
1793,19-05-2015,white wine,
2985,05-01-2015,soda,suc carbogazos
1205,14-03-2015,yogurt,iaurt
1116,08-10-2015,rolls/buns,chifle
1633,09-08-2015,whole milk,lapte integral
3600,30-07-2015,frozen vegetables,legume congelate
4740,10-07-2015,margarine,margarină
2677,23-12-2015,root vegetables,legume rădăcinoase
1540,14-08-2015,beverages,băuturi
4323,26-03-2015,grapes,struguri
4320,18-04-2015,onions,ceapă
1363,16-06-2015,butter,unt
1761,09-08-2015,cream cheese ,
1733,23-06-2015,organic sausage,cârnați organici
1994,05-10-2015,yogurt,iaurt
4300,04-04-2015,oil,ulei
4298,25-07-2015,root vegetables,legume rădăcinoase
1097,01-11-2015,soda,suc carbogazos
3766,07-05-2015,tropical fruit,fruct tropical
2348,28-02-2015,root vegetables,legume rădăcinoase
4588,08-11-2015,pastry,patiserie
3784,14-06-2015,spread cheese,
2787,05-03-2015,rolls/buns,chifle
2056,24-11-2015,pastry,patiserie
3986,25-07-2015,whole milk,lapte integral
3861,07-07-2015,bottled water,apă îmbuteliată
1094,07-01-2015,misc. beverages,
4743,24-01-2015,bottled beer,bere la sticlă
3543,02-06-2015,cat food,
4914,14-03-2015,whole milk,lapte integral
2004,21-08-2015,other vegetables,alte legume
4171,03-06-2015,chewing gum,gumă de mestecat
3041,15-09-2015,hard cheese,brânză tare
1324,10-07-2015,white wine,
1524,06-08-2015,cream cheese ,
4260,30-05-2015,canned beer,bere la cutie
1494,29-09-2015,herbs,
2521,03-03-2015,bottled water,apă îmbuteliată
2225,28-04-2015,brown bread,pâine integrală
3486,23-12-2015,pip fruit,fruct cu sâmburi
1422,28-02-2015,rolls/buns,chifle
3082,20-02-2015,tropical fruit,fruct tropical
1114,12-03-2015,dessert,
4773,31-10-2015,yogurt,iaurt
1939,30-10-2015,sliced cheese,brânză feliată
2723,03-11-2015,yogurt,iaurt
1361,08-09-2015,rolls/buns,chifle
2294,10-05-2015,rolls/buns,chifle
3915,05-03-2015,pip fruit,fruct cu sâmburi
3579,30-12-2015,herbs,
2051,20-04-2015,brown bread,pâine integrală
2113,07-09-2015,whole milk,lapte integral
1909,31-08-2015,margarine,margarină
2328,22-02-2015,other vegetables,alte legume
2948,19-06-2015,hard cheese,brânză tare
3504,20-05-2015,dish cleaner,detergent pentru vase
3069,09-04-2015,tropical fruit,fruct tropical
2142,19-05-2015,UHT-milk,
4411,17-04-2015,beverages,băuturi
1993,08-07-2015,root vegetables,legume rădăcinoase
4579,09-01-2015,whole milk,lapte integral
1177,14-10-2015,brown bread,pâine integrală
2499,24-04-2015,frozen vegetables,legume congelate
4427,14-01-2015,root vegetables,legume rădăcinoase
2883,12-10-2015,bottled water,apă îmbuteliată
1242,04-12-2015,bottled beer,bere la sticlă
3409,11-12-2015,brown bread,pâine integrală
1307,22-06-2015,baking powder,
3507,10-11-2015,frozen vegetables,legume congelate
2606,26-01-2015,rolls/buns,chifle
3048,06-06-2015,tidbits,
2007,23-11-2015,brown bread,pâine integrală
3072,26-01-2015,pickled vegetables,legume murate
3354,14-01-2015,other vegetables,alte legume
3656,11-03-2015,yogurt,iaurt
4417,18-05-2015,tropical fruit,fruct tropical
3296,06-06-2015,specialty bar,
1323,30-04-2015,beef,carne de vită
1754,17-09-2015,pip fruit,fruct cu sâmburi
3872,03-11-2015,whole milk,lapte integral
3691,05-02-2015,butter,unt
1218,29-12-2015,whole milk,lapte integral
1381,23-03-2015,domestic eggs,ouă
4550,02-03-2015,other vegetables,alte legume
1377,06-02-2015,bottled water,apă îmbuteliată
4388,19-02-2015,sauces,sosuri
2157,14-07-2015,newspapers,ziare
3321,25-12-2015,bottled beer,bere la sticlă
3205,11-12-2015,butter,unt
4444,22-07-2015,UHT-milk,
2348,01-11-2015,root vegetables,legume rădăcinoase
4275,18-08-2015,chocolate,ciocolată
3664,04-05-2015,brown bread,pâine integrală
1627,11-02-2015,other vegetables,alte legume
1641,27-05-2015,pork,carne de porc
1461,21-12-2015,margarine,margarină
4266,17-06-2015,root vegetables,legume rădăcinoase
2754,02-05-2015,fruit/vegetable juice,suc de fructe/legume
3117,30-09-2015,other vegetables,alte legume
1654,29-04-2015,frozen potato products,
1154,17-05-2015,whole milk,lapte integral
1333,22-09-2015,curd,brânză de vaci
2188,28-07-2015,rolls/buns,chifle
4679,16-05-2015,other vegetables,alte legume
2495,28-07-2015,soda,suc carbogazos
4117,10-12-2015,tropical fruit,fruct tropical
4035,12-01-2015,canned beer,bere la cutie
1500,06-01-2015,soda,suc carbogazos
4357,13-04-2015,canned beer,bere la cutie
1199,21-11-2015,white bread,pâine albă
4467,22-11-2015,whole milk,lapte integral
4220,21-11-2015,whole milk,lapte integral
4376,16-07-2015,jam,
4190,24-12-2015,fruit/vegetable juice,suc de fructe/legume
4501,15-06-2015,pork,carne de porc
1454,22-10-2015,coffee,cafea
3922,01-04-2015,rolls/buns,chifle
3586,02-05-2015,beverages,băuturi
2139,16-04-2015,yogurt,iaurt
2475,10-11-2015,soda,suc carbogazos
3419,05-12-2015,curd,brânză de vaci
2518,03-07-2015,rolls/buns,chifle
1690,03-03-2015,frozen vegetables,legume congelate
1281,02-06-2015,oil,ulei
2176,04-02-2015,long life bakery product,produs de patiserie cu termen lung
2787,13-03-2015,UHT-milk,
3460,14-02-2015,whole milk,lapte integral
3224,19-01-2015,bottled water,apă îmbuteliată
1540,26-11-2015,root vegetables,legume rădăcinoase
3942,04-04-2015,other vegetables,alte legume
2939,03-08-2015,bottled water,apă îmbuteliată
3807,26-10-2015,seasonal products,
3380,16-05-2015,pip fruit,fruct cu sâmburi
1785,07-06-2015,whole milk,lapte integral
2625,06-03-2015,baking powder,
1828,24-03-2015,bottled water,apă îmbuteliată
4225,08-05-2015,root vegetables,legume rădăcinoase
1646,28-08-2015,butter,unt
1412,16-11-2015,cream cheese ,
1892,24-04-2015,yogurt,iaurt
2535,10-11-2015,other vegetables,alte legume
4107,15-11-2015,dog food,
1452,29-03-2015,soda,suc carbogazos
4853,17-09-2015,house keeping products,
2196,23-08-2015,other vegetables,alte legume
1026,28-05-2015,root vegetables,legume rădăcinoase
3879,03-12-2015,whipped/sour cream,frișcă/smântână
4967,23-09-2015,other vegetables,alte legume
3408,05-11-2015,rolls/buns,chifle
3732,26-01-2015,white wine,
1040,26-11-2015,onions,ceapă
2612,31-05-2015,frozen meals,
1137,26-09-2015,other vegetables,alte legume
4223,15-06-2015,herbs,
3832,17-07-2015,whole milk,lapte integral
2179,16-04-2015,whole milk,lapte integral
2604,12-02-2015,other vegetables,alte legume
2238,20-03-2015,whole milk,lapte integral
2589,12-02-2015,other vegetables,alte legume
2402,06-09-2015,bottled water,apă îmbuteliată
4130,06-11-2015,root vegetables,legume rădăcinoase
4841,17-12-2015,yogurt,iaurt
1734,08-06-2015,pork,carne de porc
3748,27-03-2015,butter milk,
1021,22-10-2015,yogurt,iaurt
1104,04-01-2015,rolls/buns,chifle
2613,09-01-2015,soda,suc carbogazos
4204,16-10-2015,rolls/buns,chifle
2022,22-07-2015,white wine,
2242,05-06-2015,butter,unt
4352,20-07-2015,margarine,margarină
1945,05-02-2015,tropical fruit,fruct tropical
1427,26-11-2015,other vegetables,alte legume
3709,08-09-2015,pastry,patiserie
1349,13-04-2015,domestic eggs,ouă
4691,08-01-2015,other vegetables,alte legume
1465,26-06-2015,other vegetables,alte legume
2867,16-07-2015,other vegetables,alte legume
2381,17-05-2015,salt,
2471,13-08-2015,hamburger meat,
3252,22-08-2015,bottled water,apă îmbuteliată
4077,18-03-2015,curd cheese,
2359,21-04-2015,other vegetables,alte legume
4430,02-12-2015,tropical fruit,fruct tropical
3456,10-09-2015,root vegetables,legume rădăcinoase
2563,03-06-2015,chicken,pui
2386,04-10-2015,curd,brânză de vaci
4909,26-10-2015,domestic eggs,ouă
1014,03-10-2015,bottled beer,bere la sticlă
1389,18-02-2015,tropical fruit,fruct tropical
4800,24-12-2015,soda,suc carbogazos
1069,20-08-2015,sliced cheese,brânză feliată
1833,12-07-2015,whole milk,lapte integral
4028,08-07-2015,napkins,șervețele
3919,09-02-2015,margarine,margarină
3086,02-01-2015,brown bread,pâine integrală
2708,17-02-2015,frozen meals,
3513,29-08-2015,condensed milk,lapte condensat
3774,16-09-2015,beef,carne de vită
4827,27-01-2015,bottled water,apă îmbuteliată
4213,23-08-2015,chicken,pui
4536,24-02-2015,bottled beer,bere la sticlă
1489,23-06-2015,soda,suc carbogazos
2005,22-09-2015,male cosmetics,cosmetice pentru bărbați
2429,29-06-2015,whole milk,lapte integral
2721,10-08-2015,root vegetables,legume rădăcinoase
3909,09-02-2015,flour,
4808,20-08-2015,semi-finished bread,
4024,16-10-2015,margarine,margarină
2855,03-02-2015,herbs,
4881,28-07-2015,whipped/sour cream,frișcă/smântână
1214,10-01-2015,yogurt,iaurt
1608,10-11-2015,whole milk,lapte integral
1724,09-09-2015,pip fruit,fruct cu sâmburi
1911,02-06-2015,tropical fruit,fruct tropical
3881,02-04-2015,other vegetables,alte legume
1780,27-08-2015,whole milk,lapte integral
4675,14-09-2015,other vegetables,alte legume
3497,24-09-2015,whole milk,lapte integral
1000,15-03-2015,semi-finished bread,
3955,28-08-2015,canned beer,bere la cutie
4232,19-12-2015,pip fruit,fruct cu sâmburi
3472,28-02-2015,other vegetables,alte legume
4217,05-02-2015,yogurt,iaurt
3778,01-10-2015,citrus fruit,fructe citrice
2666,06-04-2015,dessert,
3518,18-05-2015,fruit/vegetable juice,suc de fructe/legume
4525,28-09-2015,citrus fruit,fructe citrice
2975,28-01-2015,grapes,struguri
1339,28-11-2015,whole milk,lapte integral
2001,28-01-2015,other vegetables,alte legume
2091,19-10-2015,pastry,patiserie
2453,28-08-2015,whole milk,lapte integral
4681,28-02-2015,soda,suc carbogazos
2618,14-09-2015,yogurt,iaurt
3389,26-01-2015,root vegetables,legume rădăcinoase
3044,29-09-2015,root vegetables,legume rădăcinoase
3039,02-09-2015,candles,lumânări
4563,14-05-2015,canned beer,bere la cutie
2683,11-08-2015,soda,suc carbogazos
4063,12-11-2015,pastry,patiserie
3014,19-10-2015,newspapers,ziare
4356,01-12-2015,whole milk,lapte integral
3050,06-05-2015,white bread,pâine albă
3613,05-06-2015,root vegetables,legume rădăcinoase
3152,24-11-2015,semi-finished bread,
4187,28-10-2015,canned vegetables,
2001,03-03-2015,other vegetables,alte legume
1584,26-01-2015,curd,brânză de vaci
1475,28-03-2015,frozen meals,
4942,06-08-2015,specialty chocolate,
2083,07-11-2015,ice cream,înghețată
4685,27-08-2015,hard cheese,brânză tare
2070,24-03-2015,citrus fruit,fructe citrice
2657,01-04-2015,dessert,
4012,04-04-2015,butter,unt
2698,24-01-2015,yogurt,iaurt
2222,28-12-2015,pork,carne de porc
2421,27-10-2015,other vegetables,alte legume
2410,21-11-2015,other vegetables,alte legume
2728,28-11-2015,whole milk,lapte integral
4810,17-03-2015,newspapers,ziare
1391,01-08-2015,chocolate,ciocolată
2167,08-12-2015,newspapers,ziare
3048,20-08-2015,bottled beer,bere la sticlă
3876,03-10-2015,butter milk,
3937,19-11-2015,salty snack,gustare sărată
1167,16-02-2015,domestic eggs,ouă
4031,14-01-2015,other vegetables,alte legume
2946,24-05-2015,napkins,șervețele
2672,09-03-2015,liquor (appetizer),lichior (aperitiv)
3529,05-03-2015,pork,carne de porc
3986,18-11-2015,citrus fruit,fructe citrice
3312,29-07-2015,whole milk,lapte integral
2392,15-12-2015,butter,unt
1756,03-03-2015,other vegetables,alte legume
2875,01-11-2015,soda,suc carbogazos
3871,31-07-2015,tropical fruit,fruct tropical
4512,21-12-2015,beef,carne de vită
2426,26-08-2015,chewing gum,gumă de mestecat
3728,04-10-2015,ice cream,înghețată
1093,28-03-2015,domestic eggs,ouă
